date,account,closed_pnl,win_rate,avg_trade_size,sentiment_score,next_day_pnl,profitable_next_day
2024-11-11,0x083384f897ee0f19899168e3b1bec365f52a9012,0.0,0.0,5089.718248587571,2.0,0.0,0
2024-11-17,0x083384f897ee0f19899168e3b1bec365f52a9012,0.0,0.0,7976.664411764705,2.0,0.0,0
2024-11-18,0x083384f897ee0f19899168e3b1bec365f52a9012,0.0,0.0,23734.5,2.0,-21227.0,0
2024-11-22,0x083384f897ee0f19899168e3b1bec365f52a9012,-21227.0,0.0,28186.666666666668,2.0,1603.1,1
2024-11-26,0x083384f897ee0f19899168e3b1bec365f52a9012,1603.1,0.4444444444444444,17248.14814814815,2.0,-132271.0,0
2024-11-28,0x083384f897ee0f19899168e3b1bec365f52a9012,-132271.0,0.0,16058.536341463414,2.0,0.0,0
2024-11-30,0x083384f897ee0f19899168e3b1bec365f52a9012,0.0,0.0,48561.68565217392,2.0,-175611.00005600002,0
2024-12-06,0x083384f897ee0f19899168e3b1bec365f52a9012,-175611.00005600002,0.0,36736.36242424243,1.0,71393.964098,1
2025-01-19,0x083384f897ee0f19899168e3b1bec365f52a9012,71393.964098,0.04946236559139785,11410.954021505377,2.0,40218.599998,1
2025-01-20,0x083384f897ee0f19899168e3b1bec365f52a9012,40218.599998,0.5490196078431373,9400.588039215687,2.0,76710.0,1
2025-02-02,0x083384f897ee0f19899168e3b1bec365f52a9012,76710.0,0.9,185847.0,1.0,101011.685664,1
2025-02-03,0x083384f897ee0f19899168e3b1bec365f52a9012,101011.685664,0.30512514898688914,23593.019856972587,-1.0,375620.270243,1
2025-02-04,0x083384f897ee0f19899168e3b1bec365f52a9012,375620.270243,0.15630885122410546,10576.687156308852,1.0,44400.9058,1
2025-02-05,0x083384f897ee0f19899168e3b1bec365f52a9012,44400.9058,0.37142857142857144,26585.06338095238,0.0,30897.0887,1
2025-02-09,0x083384f897ee0f19899168e3b1bec365f52a9012,30897.0887,0.9361702127659575,10161.056241134751,0.0,55086.0,1
2025-02-10,0x083384f897ee0f19899168e3b1bec365f52a9012,55086.0,0.3333333333333333,32032.5,-1.0,0.0,0
2025-02-11,0x083384f897ee0f19899168e3b1bec365f52a9012,0.0,0.0,134600.00166666668,0.0,10152.12224,1
2025-02-24,0x083384f897ee0f19899168e3b1bec365f52a9012,10152.12224,0.5254237288135594,27178.041694915253,0.0,115445.395538,1
2025-02-25,0x083384f897ee0f19899168e3b1bec365f52a9012,115445.395538,0.4246575342465753,13233.776894977169,-1.0,115287.0,1
2025-02-28,0x083384f897ee0f19899168e3b1bec365f52a9012,115287.0,0.01818181818181818,24958.908545454546,-2.0,9482.221441,1
2025-03-01,0x083384f897ee0f19899168e3b1bec365f52a9012,9482.221441,0.8,2985.797555555556,-2.0,533974.662903,1
2025-03-03,0x083384f897ee0f19899168e3b1bec365f52a9012,533974.662903,0.8424336973478939,8371.136099843994,-1.0,40200.0,1
2025-03-24,0x083384f897ee0f19899168e3b1bec365f52a9012,40200.0,0.8,79640.0,0.0,307855.80341,1
2025-04-12,0x083384f897ee0f19899168e3b1bec365f52a9012,307855.80341,1.0,21491.640322580646,-1.0,,0
2024-11-30,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,11715.94323,0.8363636363636363,2469.9509090909087,2.0,0.0,0
2024-12-01,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,0.06,2.0,0.0,0
2024-12-06,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,1426.8700000000001,1.0,3515.031065,1
2024-12-07,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,3515.031065,0.9615384615384616,2001.101153846154,2.0,0.0,0
2024-12-09,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,1131.888695652174,2.0,2517.787385,1
2024-12-10,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2517.787385,0.984375,852.88625,2.0,1613.165903,1
2024-12-18,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1613.165903,0.2542372881355932,1913.523898305085,2.0,0.0,0
2024-12-19,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,0.11,2.0,1245.51851,1
2024-12-20,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1245.51851,0.6176470588235294,10051.199411764705,1.0,0.0,0
2025-01-13,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,2845.9646153846156,1.0,4493.232479,1
2025-01-17,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,4493.232479,1.0,2440.6282352941175,2.0,1047.030992,1
2025-01-18,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1047.030992,0.717948717948718,2154.3915384615384,2.0,4842.054317,1
2025-01-19,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,4842.054317,0.6451612903225806,2194.294758064516,2.0,1693.493165,1
2025-01-24,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1693.493165,0.584070796460177,1737.369557522124,2.0,4221.156399,1
2025-01-25,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,4221.156399,0.07407407407407407,2398.331666666667,2.0,0.0,0
2025-01-27,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,1519.465681818182,1.0,6899.2458320000005,1
